Nid,Neighbourhood,Zone,Population,Population Density,Land Area,Average Income,Average House Price,Average Condo Price,Average Rent,Non-immigrants,Immigrants,Immigrants Last 10 Years,Latin Americas,Europe,Asia-Pacific,Oceania,Africa,Recent Latin Americas,Household 1 person,Household 2 persons,Household 3 persons,Household 4 persons,Household 5 or more persons,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years)
1,West Humber-Clairville,W10,33312,1117,29.81,31771,891000,337000,1834,12285,19230,2440,5260,1795,10460,65,1610,345,1800,2430,2020,1985,2050,5060,5445,13845,3990,4980,615
2,Mount Olive-Silverstone-Jamestown,W10,32954,7291,4.52,26548,891000,337000,1834,10425,21500,4720,4815,1400,12590,20,2570,605,1510,2045,2010,2075,2215,7090,5240,13615,3475,3560,300
3,Thistletown-Beaumond Heights,W10,10360,3130,3.31,32815,891000,337000,1834,4470,5465,720,1135,1140,2665,10,460,75,570,880,645,565,615,1730,1410,4160,1195,1880,350
4,Rexdale-Kipling,W10,10529,4229,2.49,34418,891000,337000,1834,5255,4975,625,1470,1340,1755,10,380,160,985,1045,700,655,450,1640,1355,4300,1520,1730,300
5,Elms-Old Rexdale,W10,9456,3306,2.86,32012,891000,337000,1834,4600,4725,530,1380,975,1450,0,865,145,635,885,665,535,500,1805,1440,3700,1255,1275,145
6,Kingsview Village-The Westway,W09,22000,4356,5.05,36674,1190000,395000,2107,10110,11425,1830,1880,2870,3960,25,2575,205,1760,2285,1400,1235,1110,4240,3020,8635,2550,3585,575
7,Willowridge-Martingrove-Richview,W09,22156,4007,5.53,44177,1190000,395000,2107,11775,10030,1210,1905,3915,3045,10,1020,235,2165,2600,1495,1400,840,3555,2625,8140,2905,4905,885
8,Humber Heights-Westmount,W09,10948,3981,2.75,45615,1190000,395000,2107,5360,4645,345,780,2800,580,20,430,60,1200,1305,710,590,320,1450,1140,3790,1510,3045,950
9,Edenbridge-Humber Valley,W08,15535,2840,5.47,101551,1600000,511000,2063,9065,5950,515,910,3590,1035,10,290,85,1785,2045,1020,905,480,2120,1805,5940,2385,3290,665
10,Princess-Rosethorn,W08,11051,2138,5.17,99055,1600000,511000,2063,7565,3360,270,225,1805,1065,40,150,20,560,1245,750,935,380,1770,1580,3825,1855,2025,325
11,Eringate-Centennial-West Deane,W08,18588,2171,8.56,47002,1600000,511000,2063,10180,8190,350,890,4505,2280,20,405,30,1430,2140,1340,1290,655,2635,2405,6910,2855,3765,565
12,Markland Wood,W08,10554,3614,2.92,62378,1600000,511000,2063,6505,3890,295,320,2725,635,10,90,35,1180,1455,720,675,285,1340,1165,3600,1735,2705,535
13,Etobicoke West Mall,W08,11848,6582,1.8,38255,1600000,511000,2063,5415,5805,815,650,2520,2370,10,225,90,1285,1365,875,685,375,1695,1460,5025,1600,2060,505
14,Islington-City Centre West,W08,43965,2712,16.21,52787,1600000,511000,2063,22450,19590,2850,2195,8325,7465,50,1350,285,6655,6405,2960,2225,1095,5820,4695,20640,5400,7405,1480
15,Kingsway South,W02,9271,3593,2.58,144642,1604000,653000,2270,7115,1960,95,150,1095,485,65,70,0,850,1205,550,695,275,1580,1100,3245,1345,1995,325
